Serial,M1,M2,M3,M4,M5,M6,S2,D1,D2,D3,D4,D4A.1,D4B.1,D4C.1,D4D.1,D4D1.1,D4E.1,D4A.2,D4B.2,D4C.2,D4D.2,D4D1.2,D4E.2,D4A.3,D4B.3,D4C.3,D4D.3,D4D1.3,D4E.3,D4A.4,D4B.4,D4C.4,D4D.4,D4D1.4,D4E.4,D4A.5,D4B.5,D4C.5,D4D.5,D4D1.5,D4E.5,D4A.6,D4B.6,D4C.6,D4D.6,D4D1.6,D4E.6,D4A.7,D4B.7,D4C.7,D4D.7,D4D1.7,D4E.7,D4A.8,D4B.8,D4C.8,D4D.8,D4D1.8,D4E.8,D4A.9,D4B.9,D4C.9,D4D.9,D4D1.9,D4E.9,D4F.1,D4F.2.1,D4F.2.2,D4F.2.3,D4F.2.4,D4F.2.5,D4F.2.6,D4F.2.7,D4F.2.8,D4F.2.9,D4F.2.10,D4F.2.11,D4F.2.12,D4F.2.13,D4F.2.14,D4F.2.15,D4F.2.16,D4F.2.97,D4G.1,D4G.2.1,D4G.2.2,D4G.2.3,D4G.2.4,D4G.2.5,D4G.2.6,D4G.2.7,D4G.2.8,D4G.2.9,D4G.2.10,D4G.2.11,D4G.2.12,D4G.2.13,D4G.2.14,D4G.2.15,D4G.2.16,D4G.2.17,D4G.2.18,D4G.2.97,D4H,D4I,D4J,D4J.2.1,D4J.2.2,D4J.2.3,D4J.2.4,D4J.2.5,D4J.2.6,D4J.2.7,D4J.2.8,D4J.2.9,D4J.2.10,D4J.2.97,D5,D6,D7,D8,D9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13.1,Q13.2,Q13.3,Q13.4,Q13.5,Q13.6,Q13.7,Q13.8,Q13.9,Q13.10,Q13.11,Q13.12,Q13.13,Q13.97,Q14,Q15A,Q15B,Q15C,Q15D,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24A,Q24B,Q24C,Q24D,Q24E,Q24F,Q24G,Q24H,Q24I,Q24J,Q24K,Q24L,Q24M,Q24N,Q24O,Q24P,Q24T,Q25,QN1,QN2,QN3,QN4,QN5,QN6,QN7,QN8,QN9,QN10,QN11
123,1,19911c04210,786089445,1,0,0,4,1,40,7,5,2,4,2,0,0,2,2,4,2,0,0,2,1,10,1,1,1,2,1,13,1,1,1,2,2,15,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1 2,1,4,1,5,1,1,1,1,2,0,1,1 2 3 4 5,1,3,5,2,4,U,U,U,U,U,U,U,U,U,2 3 6 7 9 11,20,5,55,15,9,1,1,1 4,1,12 13,0,2 3 15 16,U,1,2,U,U,U,U,U,U,U,U,U,U,U,3,U,U,9,0,0,0,0,0,0,0,0,0,0,0
124,1,19909c02006,799684760,2,0,0,4,1,13,4,3,2,12,1,1,1,2,1,12,1,1,1,2,1,13,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,2,0,6,1,1,4,1,5,1,1,1,2,2,0,1,2 3 4 5 13,U,3,5,1,2,U,U,U,U,U,U,U,4,U,2 3 6 9 10,30,10,60,10,9,1,1,1 4 8,1,12 13 21,0,2 3 15,U,1,2,U,U,U,U,U,U,U,U,U,U,U,3,U,U,9,0,0,0,0,0,0,0,0,0,0,0
126,1,19912c00830,799892158,2,0,1,4,2,33,5,3,1,3,2,0,0,2,2,6,1,1,1,2,1,10,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2 4 13,1,2,U,3,U,U,U,U,U,U,U,U,4,U,3 9 11,20,U,20,20,9,1,1,4 6,1,12 15,0,1 2 3 9,U,2,3,U,U,U,U,U,1,U,U,U,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
128,1,19912c03784,799237595,2,0,0,4,1,55,5,3,2,2,2,0,0,2,1,14,1,1,1,2,2,16,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,2,1,3,1,5,1,1,1,1,2,0,1,1 13,1,U,U,U,U,U,U,U,U,U,U,U,2,U,3 7 9 11,30,U,40,12,7,1,1,5 6 8,1,12 14 15 16,0,1 3 9,2,U,3,U,U,U,U,U,1,U,U,U,U,U,U,U,U,20,0,0,0,0,0,0,0,0,0,0,0
129,1,19912c01178,799730689,2,0,1,4,2,17,3,2,2,16,2,0,0,2,2,17,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,4 7 8,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,4 8 14,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,97,2,0,6,1 2,1,5,1,5,1,1,2,2,2,0,1,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,99,U,U,U,U,0,2,2,0,2,0,1,2 3 15,U,1,2,U,U,U,U,U,U,U,U,U,U,U,3,U,U,6,0,0,0,0,0,0,0,0,0,0,0
131,1,84113c21798,778619834,2,0,1,4,1,50,5,2,1,7,1,1,1,2,2,9,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1,1,5,1,5,1,1,1,1,2,0,1,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,3 6 9 10,5,5,20,10,9,3,2,0,2,0,1,2 3 15 16,U,1,2,U,U,U,U,U,U,U,U,U,U,U,3,U,U,99,0,0,0,0,0,0,0,0,0,0,0
132,1,19912c01152,798536310,1,0,0,4,1,50,6,4,1,5,2,0,0,2,1,12,1,1,1,2,1,16,2,0,0,2,1,17,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,0,0,0,0,0,0,1,0,0,0,1,2,0,6,1 2,1,4,1,5,1,1,2,1,2,0,1,1 2,1,2,U,U,U,U,U,U,U,U,U,U,U,U,2 3 5 6 9 10,25,15,40,30,9,1,1,2 97,1,2 12 13,0,1 2 3,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9 15 16,0,0,0,0,0,0,0,0,0,0,0
133,1,19908c01990,795042034,2,0,0,4,2,39,5,1,2,9,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,1,1,5,1,5,1,1,1,1,2,0,1,1 3 4 5 6 10 13,1,U,3,2,U,U,U,U,U,5,U,U,4,U,3 6 9 10,15,5,30,20,9,2,1,1,1,13,0,1 2 3 9 15 16,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,20,0,0,0,0,0,0,0,0,0,0,0
134,1,19912c07213,787922063,2,0,0,4,1,32,4,2,2,4,2,0,0,2,1,7,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,1,2,1,5,1,1,1,1,1,6,1,1 2 9,1,2,U,U,U,U,U,U,3,U,U,U,U,U,3 5 6,15,40,U,U,6,2,1,2,1,18,0,2 3 9,U,3,1,U,U,U,U,U,2,U,U,U,U,U,U,U,U,20,0,0,0,0,0,0,0,0,0,0,0
135,1,19912c01013,786974069,2,0,1,4,1,56,4,1,1,13,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1 2,1,4,1,5,1,1,1,1,2,0,1,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,99,U,U,U,U,0,3,1,1,1,2,0,1 2 3 9 15 16,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
136,1,19912c00779,799986531,2,0,0,4,2,43,4,3,1,5,2,0,0,2,2,8,1,1,1,2,2,9,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,97,2,0,6,1 2,1,5,1,5,1,1,1,2,2,0,1,1 2 13,1,3,U,U,U,U,U,U,U,U,U,U,2,U,3 6 9,30,15,30,U,9,1,1,2 3 4 8,1,12 16 18,0,1 2 3,2,3,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,12 13,0,0,0,0,0,0,0,0,0,0,0
137,1,19911c03525,78362416,1,0,0,4,2,42,8,7,2,3,2,0,0,2,2,7,1,1,1,2,2,8,1,1,1,2,2,10,1,1,1,2,1,12,1,1,1,2,2,14,1,1,1,2,2,15,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,1 2,1,5,1,5,1,1,2,2,2,0,1,1 2,1,2,U,U,U,U,U,U,U,U,U,U,U,U,3 6 7 9 11,15,10,80,15,9,1,1,1 8,1,2 12 13,0,2 3 15 16,U,1,2,U,U,U,U,U,U,U,U,U,U,U,3,U,U,9,0,0,0,0,0,0,0,0,0,0,0
139,1,19912c00615,787029160,2,0,0,4,1,29,6,4,1,1.5,2,0,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,5,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1 2,1,4,1,5,1,1,2,1,2,0,1,1 2 3 4 13,1,4,5,2,U,U,U,U,U,U,U,U,3,U,5 6 7 9 10 11,U,10,40,15,9,1,1,1 4 6 97,1,2 12 13,0,1 2 3 15,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9,0,0,0,0,0,0,0,0,0,0,0
140,1,19912c00227,797036074,1,0,1,4,1,42,6,3,1,7,1,1,1,2,2,9,1,1,1,2,2,17,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1 2,1,6,1,3 5,1,1,1,1,2,0,1,1 2 3 4 5 13,1,4,5,2,3,U,U,U,U,U,U,U,U,U,3 6 9,30,5,35,U,9,2,1,8,1,2 16,0,1 2 3 15 16,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9,0,0,0,0,0,0,0,0,0,0,0
141,1,19912c01020,785699249,1,0,1,4,1,36,6,4,2,3,2,0,0,2,2,8,1,1,1,2,2,11,1,1,1,2,2,13,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2 13,1,2,U,U,U,U,U,U,U,U,U,U,3,U,3 7 9,30,U,30,U,3,1,1,4 5 8,1,12 14 16,0,1 2 3 9,U,2,3,U,U,U,U,U,1,U,U,U,U,U,U,U,U,20,0,0,0,0,0,0,0,0,0,0,0
142,1,19912c07433,785246129,2,0,0,4,2,38,5,3,1,11,1,1,1,2,2,12,1,1,1,2,1,13,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,2,0,6,1 2,1,4,1,5,1,1,1,1,2,0,1,1 13,1,U,U,U,U,U,U,U,U,U,U,U,2,U,3 7 9,40,U,30,U,3,1,1,4 5 8,1,12 14 16,0,1 2 3 9,3,U,1,U,U,U,U,U,2,U,U,U,U,U,U,U,U,17 18 19,0,0,0,0,0,0,0,0,0,0,0
143,1,19912c00478,779321528,2,0,0,4,1,68,3,1,2,17,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1,1,5,1,5,1,1,2,1,2,0,1,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,99,U,U,U,U,0,4,2,0,2,0,2 8,2 3 9 15 16,U,1,2,U,U,U,U,U,U,U,U,U,U,U,3,U,U,99,0,0,0,0,0,0,0,0,0,0,0
144,1,16513c33485,78989476,2,0,0,4,2,40,5,3,2,1.8,2,0,0,2,2,4,2,0,0,2,2,6,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2 13,2,1,U,U,U,U,U,U,U,U,U,U,3,U,7 11,U,U,15,20,11,1,1,5 6,1,14 15,0,1 2 3 9 11,3,U,2,U,U,U,U,U,1,U,U,U,U,U,U,U,U,12,0,0,0,0,0,0,0,0,0,0,0
145,1,19912c02503,799942095,2,0,1,4,1,52,5,2,1,6,2,0,0,2,1,7,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,97,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2,1,2,U,U,U,U,U,U,U,U,U,U,U,U,99,U,U,U,U,0,4,2,0,2,0,8,1 2 3 9 12 15,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
146,1,19912c00247,787059920,2,0,1,4,1,51,7,5,2,2,2,0,0,2,1,4,2,0,0,2,1,5,2,0,0,2,2,7,1,1,1,2,1,9,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,1 2,1,4,1,5,1,1,2,1,2,0,1,1 2 3 4 5 13,1,3,4,2,5,U,U,U,U,U,U,U,U,U,3 6 7 9 10 11,15,15,40,30,9,2,1,1 8,1,2 13 18,0,1 2 3,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9 15 16,0,0,0,0,0,0,0,0,0,0,0
147,1,19912c01160,788280353,2,0,1,4,1,42,4,2,1,3,2,0,0,2,1,14,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,4 7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4 7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1,1,6,1,5,1,1,1,1,2,0,1,1 3 4 13,1,U,4,2,U,U,U,U,U,U,U,U,3,U,6 7 9 10,U,5,25,10,9,1,1,4 10,1,2 12 18,0,1 2 3 15,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
149,1,47412c03458,779215179,2,0,0,3,1,49,6,2,2,6,2,0,0,2,1,10,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1 2,1,4,1,5,1,1,2,1,2,0,1,1 2 3 4 5 7,1,5,U,2,3,U,4,U,U,U,U,U,U,U,3 6 7 9 11,25,10,40,25,9,2,1,5 6,1,14 15,0,1 2 3 15,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9,0,0,0,0,0,0,0,0,0,0,0
150,1,19912c08713,777239642,1,0,0,9,1,40,9,7,1,2,2,0,0,2,1,3,2,0,0,2,2,5,2,0,0,2,1,9,1,1,1,2,1,10,1,1,1,2,2,11,1,1,1,2,2,13,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2 4 13,1,3,U,4,U,U,U,U,U,U,U,U,2,U,3 7 9 11,25,U,30,13,9,1,1,4 5 8,1,12 14 15,0,1 2 3 9,3,2,U,U,U,U,U,U,1,U,U,U,U,U,U,U,U,20,0,0,0,0,0,0,0,0,0,0,0
151,1,19912c06623,787592329,3,0,0,9,1,37,5,2,2,4,2,0,0,2,2,5,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,97,1,3,1,5,1,1,1,1,2,0,1,2 3 4 12,U,2,3,1,U,U,U,U,U,U,U,4,U,U,6 9 11,U,5,25,20,9,2,1,1 5 6,1,14 15,0,1 2 3 9 15,1,3,2,U,U,U,U,U,U,U,U,U,U,U,U,U,U,6 9,0,0,0,0,0,0,0,0,0,0,0
152,1,16513c24675,798369673,2,0,1,3,1,32,6,4,1,0.3,2,0,0,2,1,5,2,0,0,2,2,9,1,1,1,2,2,9,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,1 2,1,5,1,5,1,1,1,1,2,0,1,2 3 4 5 13,U,2,5,1,3,U,U,U,U,U,U,U,4,U,2 3 6 7 9 11,30,5,30,15,9,1,1,1,1,13,0,2 3,U,1,2,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9 15 16,0,0,0,0,0,0,0,0,0,0,0
153,1,16513C14487,787121119,2,0,1,3,1,57,5,2,2,11,1,1,1,2,1,14,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1 2,1,5,1,5,1,1,1,1,2,0,1,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,3 6 9 10,15,5,20,20,9,2,2,0,1,2,0,1 2 3 9 15 16,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,6,0,0,0,0,0,0,0,0,0,0,0
154,1,16513c12144,798420532,1,0,0,3,2,38,8,6,2,2,2,0,0,2,1,7,1,1,1,2,1,7,1,1,1,2,1,12,1,1,1,2,1,14,1,1,1,2,2,16,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,4,1,5,1,1,1,1,2,0,1,1 2 3 4 5 13,1,4,5,2,3,U,U,U,U,U,U,U,U,U,3 4 5 6 7 9 10 11,30,20,40,30,9,1,1,1 4,1,12 13,0,1 2 3,1,2,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9 15 16,0,0,0,0,0,0,0,0,0,0,0
155,1,19912c19789,776674896,1,0,0,8,2,34,7,5,2,1,2,0,0,2,1,3,2,0,0,2,2,5,2,0,0,2,1,11,1,1,1,2,2,12,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,1 2,1,5,1,5,1,1,1,1,1,6,1,1 2 3 4 5 13,1,5,U,2,4,U,U,U,U,U,U,U,3,U,2 3 6 7 9 10 11,30,10,50,30,9,1,1,5 6,1,14 15 18,0,1 2 3 16,1,3,2,U,U,U,U,U,U,U,U,U,U,U,U,U,U,9 13 15,0,0,0,0,0,0,0,0,0,0,0
156,1,19913c14163,779525381,1,0,1,8,1,41,7,4,1,5,2,0,0,2,1,7,1,1,1,2,1,12,1,1,1,2,1,16,2,0,0,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,4 7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2 13,1,3,U,U,U,U,U,U,U,U,U,U,2,U,3 6 9,40,20,30,U,3,1,1,4 8,1,12 16,0,1 3 8 9,1,U,3,U,U,U,U,U,2,U,U,U,U,U,U,U,U,15 16,0,0,0,0,0,0,0,0,0,0,0
157,1,19912c13286,78545243,1,0,0,12,1,36,7,5,1,5,2,0,0,2,2,4,2,0,0,2,2,6,1,1,1,2,1,9,1,1,1,2,2,10,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2 4 13,1,3,U,2,U,U,U,U,U,U,U,U,4,U,3 9 11,50,U,30,25,3,1,1,6 8,1,15 16,0,1 3 9,3,U,2,U,U,U,U,U,1,U,U,U,U,U,U,U,U,99,0,0,0,0,0,0,0,0,0,0,0
158,1,19912c08786,797386683,2,0,0,10,1,40,5,3,1,3,2,0,0,2,2,4,2,0,0,2,2,6.6,1,1,1,2,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,0,U,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1 2,1,5,1,5,1,1,1,1,2,0,1,1 2 13,1,3,U,U,U,U,U,U,U,U,U,U,2,U,3 7 11,20,U,30,20,7,1,1,5 6,1,14 15,0,1 3 9,2,U,3,U,U,U,U,U,1,U,U,U,U,U,U,U,U,6,0,0,0,0,0,0,0,0,0,0,0
